"@timestamp","src_ip",realm,"auth_user","response_code","http_method","bytes_from_client","bytes_to_client","media_type",url
"Jan 17, 2021 @ 08:06:36.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,239,230,"application/json","https://classify-client.services.mozilla.com/api/v1/classify_client/"
"Jan 17, 2021 @ 08:06:35.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,221,"1,022","application/json","https://normandy.cdn.mozilla.net/api/v1/"
"Jan 17, 2021 @ 07:58:42.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"6,446","36,057",,"api.kontur.ru:443"
"Jan 17, 2021 @ 07:56:03.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"63,196","1,796,786",,"api.kontur.ru:443"
"Jan 17, 2021 @ 07:55:25.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,392,225,,"https://metrika.kontur.ru/track-event?c=state&a=stopPolling&fp=73f522a52ff8656da6bcd42b672988dc&cv=%7B%22integrationId%22%3A%22KE-web%22%2C%22segment%22%3A%22notEmpty%22%2C%22segmentKey%22%3A%22ke-corp-segment%22%2C%22hasFeatureSegment%22%3Atrue%7D&ts=31.01.2023%2010%3A55%3A25%20GMT%2B03%3A00&id=70&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2F&urlref=&ei=24&vs=0&vt=39&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 07:54:41.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,761,223,,"https://metrika.kontur.ru/track-event?c=candy&a=helptooltipShow&fp=73f522a52ff8656da6bcd42b672988dc&l=options&cv=%7B%22gfv%22%3A%22113104%22%2C%22trigger%22%3A%22hover%22%2C%22for%22%3A%22%D0%A4%D0%B0%D0%B9%D0%BB%2F%D0%94%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%2F%D0%9D%D0%94%D0%A4%D0%9B6.2%2F%D0%A0%D0%B0%D1%81%D1%87%D0%A1%D1%83%D0%BC%D0%9D%D0%B0%D0%BB%2F*%22%7D&ts=31.01.2023%2010%3A54%3A41%20GMT%2B03%3A00&id=3&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2FAllForms%2Fnew_forms%2Fnew_candyform.aspx%3Fgfv%3D113104%26abonId%3D577100cf-a2c9-482e-918b-ad59e9497651%26userId%3D577100cf-a2c9-482e-918b-ad59e9497651%26orgId%3D03f93c7c-2265-4215-b86f-bf0e17e60035%26keDraftId%3D577100cf-a2c9-482e-918b-ad59e9497651__4b4242a2-b528-4882-8c60-f7715e39d363%26externalInitSectionPath%3D%26source%3D%23%2F&urlref=https%3A%2F%2Fextern.kontur.ru%2Freact%2Findex%2F&ei=242&vs=1&vt=2&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 14:09:44.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,632,"26,077",text/html,https://service.nalog.ru/addrno.do
"Jan 17, 2021 @ 14:06:17.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,63,"1,253",text/javascript,https://data.nalog.ru/js/ul2018/vendor/jquery.highlight.js?ver=2.0.0.15775
"Jan 17, 2021 @ 14:06:17.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,50,"40,136",text/javascript,https://data.nalog.ru/js/ul2018/script.js?ver=2.0.0.15775
"Jan 17, 2021 @ 14:06:17.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,52,"7,355",text/javascript,https://data.nalog.ru/js/ul2018/script_me.js?ver=2.0.0.15775
